Id,Name,FIGI,Ticker
407,Yext Inc,BBG001MKZGY7,YEXT
408,Teladoc Health Inc,BBG0019T5SG0,TDOC
409,Globaltrans Investment PLC,BBG000VFX6Y4,GLTR
410,Borussia Dortmund GmbH & Co KG,BBG000D54JC4,BVB@DE
411,Independent Bank Corp,BBG000BM0597,INDB
412,LCI Industries,BBG000DNLMB0,LCII
413,Arcturus Therapeutics Holdings,BBG00NNW8JK1,ARCT
414,Primerica,BBG000T8ZF80,PRI
415,Amicus Therapeutics,BBG000PLF6N0,FOLD
416,Howard Hughes Corp,BBG000MJRJJ2,HHC
417,FormFactor Inc,BBG000D1Y3P1,FORM
418,Peloton Interactive Inc,BBG00JG0FFZ2,PTON
419,Cullen/Frost Bankers,BBG000C2PL98,CFR
420,Sony Corp,BBG000BT7ZK6,SONY
421,Enphase Energy Inc,BBG001R3MNY9,ENPH
422,Balchem Corp,BBG000BCY878,BCPC
423,Seattle Genetics Inc,TCS000BH0FR6,SGEN_old
424,Delivery Hero SE,BBG00GVXMJ74,DHER@DE
425,Fresenius SE,BBG000BS3CD1,FRE@DE
426,Palantir Technologies Inc,BBG000N7QR55,PLTR
427,Builders FirstSource Inc,BBG000BKD3K9,BLDR
428,Editas Medicine Inc,BBG005MX5GZ2,EDIT
429,Sberbank of Russia PJSC,BBG001VBZR00,SBER@GS
430,Hubbell,BBG000BLK267,HUBB
431,Redfin Corp,BBG001Q7HP63,RDFN
432,MD Medical Group Investments PLC,BBG003GTN5S5,MDMG
433,Hill-Rom Holdings,BBG000BKWCS0,HRC
434,Белуга Групп ПАО ао,BBG000TY1CD1,BELU
435,Tetra Tech,BBG000BYZ0Q5,TTEK
436,Chatham Lodging REIT,BBG000PT6BR8,CLDT
437,Chesapeake Energy Corporation,TCS651671075,CHKold
438,Twilio Inc,BBG0029ZX840,TWLO
439,Evergy, Inc,BBG00H433CR2,EVRG
440,MSA Safety,BBG000BPDXF8,MSA
441,BWX Technologies,BBG000D86F25,BWXT
442,Anterix,BBG0081NLHR0,ATEX
443,Iridium Communications Inc,BBG000VC0FC1,IRDM
444,MRC Global Inc,BBG000BKLTM1,MRC
445,Coupang, Inc.,BBG00XMJRPQ8,CPNG
446,Novartis AG,BBG000LYF3S8,NVS
447,Lindsay Corporation,BBG000FJS1S8,LNN
448,Leidos Holdings,BBG000C23PB0,LDOS
449,VIZIO Holding Corp.,BBG00ZHDJVK4,VZIO
450,Equity LifeStyle Properties REIT,BBG000BB7SX7,ELS
451,Kodiak Sciences Inc,BBG00BVR0D02,KOD
452,ITT,BBG00CVQZQ96,ITT
453,Azenta,BBG000DX9JV7,AZTA
454,NCR Corp,BBG000BMXK89,NCR
455,Simply Good Foods Co,BBG00GVP5JL4,SMPL
456,Medallia Inc,BBG001BPKGT0,MDLA
457,Match Group Inc,TCS00B6WH9G3,MTCH_old
458,Virtu Financial, Inc.,BBG0064N2T78,VIRT
459,YETI Holdings Inc,BBG00D8JC882,YETI
460,American Outdoor Brands Corp,TCS000BM0QL7,AOBC
461,Farfetch Ltd,BBG00LSD4456,FTCH
462,Trupanion Inc,BBG002BC7WC5,TRUP
463,Simulations Plus Inc.,BBG000BS2ZD1,SLP
464,Toro,BBG000BVQRY3,TTC
465,Deutsche Wohnen SE,BBG000GM6Y84,DWNI@DE
466,Perficient Inc,BBG000BVXFK6,PRFT
467,Inari Medical Inc,BBG009J8K7M0,NARI
468,Applied Therapeutics,BBG000DD0489,APLT
469,CMC Materials,BBG000BP3NW2,CCMP
470,John Bean Technologies,BBG000VLBCQ1,JBT
471,Valmont Industries,BBG000BWB7V4,VMI
472,Glaukos Corp,BBG000WG2LQ1,GKOS
473,ACM Research Inc,BBG00HPSG933,ACMR
474,Catalent Inc,BBG005XR47P5,CTLT
475,MKS Instruments,BBG000BVMG26,MKSI
476,Arvinas Inc,BBG00LW7YK82,ARVN
477,World Wrestling Entertainment,BBG000F5YH15,WWE
478,Acceleron Pharma Inc,BBG000R5HWZ1,XLRN
479,Sabra Health Care REIT,BBG000MTDW24,SBRA
480,Duluth Holdings Inc,BBG002GBMZG4,DLTH
481,Curtiss-Wright,BBG000BGSPS5,CW
